         72940 function calls (71769 primitive calls) in 0.269 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 synchronize.py:159(Lock)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
       66    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        6    0.000    0.000    0.000    0.000 connection.py:370(_send)
      457    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        9    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 queues.py:35(Queue)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
        4    0.000    0.000    0.000    0.000 process.py:153(is_alive)
        4    0.000    0.000    0.000    0.000 process.py:61(_cleanup)
        4    0.000    0.000    0.000    0.000 process.py:224(exitcode)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
        1    0.000    0.000    0.000    0.000 connection.py:119(_ConnectionBase)
        3    0.000    0.000    0.000    0.000 process.py:128(terminate)
        1    0.000    0.000    0.000    0.000 popen_fork.py:1(<module>)
        6    0.000    0.000    0.000    0.000 reduction.py:38(__init__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        2    0.000    0.000    0.000    0.000 contextlib.py:139(__exit__)
       18    0.000    0.000    0.000    0.000 {built-in method posix.close}
       12    0.000    0.000    0.000    0.000 connection.py:122(__init__)
       10    0.000    0.000    0.000    0.000 _weakrefset.py:86(add)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
        4    0.000    0.000    0.000    0.000 memory_profiler.py:740(_count_ctxmgr)
       51    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
       18    0.000    0.000    0.000    0.000 threading.py:1423(current_thread)
      200    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x7febb5ffad80}
        3    0.000    0.000    0.000    0.000 popen_fork.py:56(terminate)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
       36    0.000    0.000    0.000    0.000 util.py:48(debug)
        6    0.000    0.000    0.000    0.000 threading.py:1021(_stop)
       12    0.000    0.000    0.000    0.000 weakref.py:348(__new__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
        1    0.000    0.000    0.000    0.000 queue.py:28(Queue)
      201    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      390    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        2    0.000    0.000    0.000    0.000 memory_profiler.py:1201(choose_backend)
        2    0.000    0.000    0.000    0.000 pool.py:276(_get_sentinels)
        8    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        6    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 random.py:119(__init__)
        6    0.000    0.000    0.000    0.000 connection.py:135(__del__)
        2    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
        2    0.000    0.000    0.000    0.000 memory_profiler.py:748(wrap_function)
        1    0.000    0.000    0.000    0.000 tokenize.py:297(detect_encoding)
       18    0.000    0.000    0.000    0.000 context.py:187(get_context)
       36    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
        2    0.000    0.000    0.000    0.000 contextlib.py:130(__enter__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      274    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        6    0.000    0.000    0.000    0.000 weakref.py:106(remove)
       12    0.000    0.000    0.000    0.000 weakref.py:353(__init__)
        1    0.000    0.000    0.000    0.000 random.py:128(seed)
        6    0.000    0.000    0.000    0.000 threading.py:1191(daemon)
       39    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      106    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
